File name	0061.100
Result analysis file name	0061_baseline.raf
Subject	0061
Gender	
Age
Memo
Free comment 1	SubjectID	0061
Free comment 2	Date	01/02/1970
Free comment 3
Free comment 4
Free comment 5
Free comment 6
Free comment 7
Free comment 8
Free comment 9
Free comment 10

1_EEG			uV^2	uV^2	uV^2	uV^2	uV^2		uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	uV^2	
EpochNo	Stage	Time	Delta	Theta	Alpha	Beta	Gamma		0.000000Hz	0.488281Hz	0.976563Hz	1.464844Hz	1.953125Hz	2.441406Hz	2.929688Hz	3.417969Hz	3.906250Hz	4.394531Hz	4.882813Hz	5.371094Hz	5.859375Hz	6.347656Hz	6.835938Hz	7.324219Hz	7.812500Hz	8.300781Hz	8.789063Hz	9.277344Hz	9.765625Hz	10.253906Hz	10.742188Hz	11.230469Hz	11.718750Hz	12.207031Hz	12.695313Hz	13.183594Hz	13.671875Hz	14.160156Hz	14.648438Hz	15.136719Hz	15.625000Hz	16.113281Hz	16.601563Hz	17.089844Hz	17.578125Hz	18.066406Hz	18.554688Hz	19.042969Hz	19.531250Hz	
0	W	12/23/2016 16:00:00	92.279653	39.349062	9.181490	6.156293	0.528547		3.978045	19.357449	15.347091	2.949719	15.520095	16.346445	3.997297	4.760983	3.592604	4.968911	5.439059	7.905791	5.547963	5.801077	9.556701	6.360665	1.992825	1.875419	0.308621	3.002235	2.361567	0.716301	1.835253	0.684739	0.581393	0.487609	0.266491	1.239023	1.075750	0.578843	0.400299	0.422829	0.041450	0.470019	0.484803	0.070185	0.123497	0.149812	0.108824	0.141887	0.094971	
1	W	12/23/2016 16:00:04	1464.794402	46.759982	6.631006	4.509935	0.443036		47.802872	949.565857	373.929901	22.529264	8.174706	8.078276	17.350952	11.428116	6.299551	15.044671	52.393108	20.201118	9.426380	6.865336	0.896829	0.676806	1.303419	3.176349	4.213744	0.495503	2.766861	1.081794	0.256320	0.868738	1.161790	0.232444	0.133586	0.115409	0.551983	0.665101	0.314896	0.076354	0.799126	0.895109	0.117246	0.052530	0.120999	0.064399	0.155204	0.101452	0.114095	
2	W	12/23/2016 16:00:08	299.024664	39.392393	8.738169	7.725558	0.527787		19.705702	106.286263	62.887512	38.544937	21.718470	12.517962	14.470984	12.628170	9.952465	12.813713	7.204190	4.342843	5.706077	3.209152	8.986703	8.328464	5.197520	2.974282	0.647352	2.177026	3.818367	1.373471	0.410205	0.768168	0.190933	0.057416	1.071478	1.189801	0.733718	1.005126	1.172527	1.128565	0.268437	0.201888	0.153692	0.196739	0.026335	0.158858	0.200503	0.135450	0.025028	
3	W	12/23/2016 16:00:12	961.617658	31.621620	12.587238	8.915975	0.418467		457.746826	736.392822	108.998291	29.331816	7.148066	3.262622	13.457579	18.037193	27.351879	10.835015	6.802374	2.630613	4.485795	6.215682	8.820107	2.538014	2.082337	2.180150	2.668923	1.036086	0.231122	2.066735	2.412269	4.895981	1.945044	0.524175	0.203306	0.470096	0.857848	1.258545	1.740386	1.645810	0.762306	0.406403	0.131184	0.253129	0.140420	0.218338	0.204282	0.046060	0.053688	
4	W*	12/23/2016 16:00:16	27018.766073	69.584383	12.665962	4.098139	0.421180		647.615112	11277.727539	12838.642578	2394.262207	114.885445	178.670670	90.267799	31.383778	45.422310	26.561762	20.941986	23.786354	15.038778	12.390579	13.622324	1.897387	0.470181	1.550512	0.828268	3.762157	3.709854	1.207196	1.823817	1.722850	0.440087	0.361957	0.235255	0.085715	0.765143	0.819478	0.478158	0.175518	0.160258	0.213906	0.348737	0.037834	0.064747	0.207868	0.099958	0.030914	0.012694	
5	W	12/23/2016 16:00:20	476.668865	32.188564	8.513344	2.824983	0.489699		56.606750	220.870575	145.300293	30.732231	2.333715	2.049870	4.472965	6.243670	20.815788	29.066971	14.782787	10.794106	8.033746	1.428516	1.495551	1.614411	4.931440	2.793463	1.097331	1.398822	3.579835	2.156882	0.718612	0.181516	0.477677	0.159596	0.330626	0.296120	0.394240	0.509483	0.072471	0.178645	0.028352	0.052316	0.275772	0.218695	0.027055	0.100067	0.051378	0.036650	0.093516	
6	W	12/23/2016 16:00:24	5683.032824	22.633395	9.616186	5.991872	0.552996		222.874374	2407.950684	2172.730469	652.423706	202.890884	128.364700	55.295254	29.940233	23.369427	7.816825	2.250642	1.994852	4.608390	3.065306	2.301358	4.435908	1.897998	1.214258	3.115325	3.773683	2.105019	0.398985	0.330804	1.270921	1.736773	1.082662	1.232119	0.766512	0.360875	0.227210	0.469481	0.315698	0.217834	0.240663	0.432361	0.279914	0.130177	0.111829	0.038554	0.064182	0.021801	
7	W	12/23/2016 16:00:28	744.255199	16.999742	5.858000	5.105518	0.428297		28.011915	306.411438	274.051483	52.559280	10.218539	19.831951	29.490021	29.168095	3.366827	11.913271	7.244295	2.615441	1.923428	4.355164	1.825809	1.354888	2.477937	2.125026	0.322051	0.854459	1.962120	1.390798	0.431724	0.693790	0.525109	0.343572	0.296605	0.723161	0.425393	0.380178	0.265814	0.416929	0.167319	0.321658	0.534391	0.798078	0.228940	0.049842	0.028640	0.040889	0.084108	
8	W	12/23/2016 16:00:32	384.898142	43.225741	11.793129	8.486906	0.502568		48.204777	208.130569	85.631027	7.800900	19.539795	8.915155	16.555252	11.416292	9.040486	6.211429	11.657236	13.342907	8.922564	5.490289	3.657008	8.666810	1.431818	0.367163	1.347183	2.043303	6.261694	2.509904	0.175898	0.362872	0.439459	0.887156	0.357232	0.525560	1.765797	1.420987	0.856224	0.381239	0.025740	0.114358	0.325329	0.412630	0.492939	0.427613	0.193201	0.198372	0.102532	
