File name,221.100
Result analysis file name,221_bl.raf
Subject,221
Gender,
Age
Memo
Free comment 1,SubjectID,221
Free comment 2,Date,01/02/1970
Free comment 3
Free comment 4
Free comment 5
Free comment 6
Free comment 7
Free comment 8
Free comment 9
Free comment 10

1_EEG,,,uV^2,uV^2,uV^2,uV^2,uV^2,,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,uV^2,
EpochNo,Stage,Time,Delta,Theta,Alpha,Beta,Gamma,,0.000000Hz,0.488281Hz,0.976563Hz,1.464844Hz,1.953125Hz,2.441406Hz,2.929688Hz,3.417969Hz,3.906250Hz,4.394531Hz,4.882813Hz,5.371094Hz,5.859375Hz,6.347656Hz,6.835938Hz,7.324219Hz,7.812500Hz,8.300781Hz,8.789063Hz,9.277344Hz,9.765625Hz,10.253906Hz,10.742188Hz,11.230469Hz,11.718750Hz,12.207031Hz,12.695313Hz,13.183594Hz,13.671875Hz,14.160156Hz,14.648438Hz,15.136719Hz,15.625000Hz,16.113281Hz,16.601563Hz,17.089844Hz,17.578125Hz,18.066406Hz,18.554688Hz,19.042969Hz,19.531250Hz,
0,W,4/20/2017 19:00:00,1166.831121,382.240185,250.041656,183.635428,207.202785,,2.730733,23.749311,91.356682,113.611984,83.911774,309.030151,284.448395,9.565140,73.439842,97.869919,79.847923,17.690939,20.840633,24.222874,22.810436,14.317141,33.511200,98.621117,150.225845,98.425774,12.176188,56.180607,58.423580,21.417511,3.417997,14.849300,29.178473,11.798642,8.078763,2.561718,4.453978,5.067600,9.028261,15.443649,7.019189,3.462282,13.172865,9.631404,1.433609,17.515062,30.940632,
1,W,4/20/2017 19:00:04,1137.785254,528.212388,100.812355,372.276971,174.700342,,56.261360,210.176895,101.700630,29.182106,176.494324,244.689575,105.071114,56.834461,26.155855,111.406967,76.073326,92.705109,149.014420,107.961014,45.853367,65.104126,11.827683,24.818535,30.928135,23.040079,31.486320,17.326784,14.212137,10.499563,4.247471,3.777458,10.724383,44.768791,42.732651,33.255680,24.528694,23.957497,26.879377,26.428816,35.171612,38.640583,26.897320,6.028706,8.652117,10.596338,9.236948,
2,W,4/20/2017 19:00:08,578.643340,729.331478,257.966374,253.219113,198.576446,,3.181159,40.562889,89.634583,216.720993,29.039333,44.398979,6.458741,49.748802,46.504864,36.326927,19.247229,24.421257,109.597343,124.381950,38.576283,37.442970,99.366356,173.989532,121.555786,33.829144,103.613098,54.630005,46.052837,14.632011,5.209279,12.307963,6.316648,4.387818,7.548202,16.160563,20.243719,23.118961,22.569963,19.600857,18.450039,34.669472,23.614647,17.515215,6.479279,7.187537,13.048230,
3,W,4/20/2017 19:00:12,985.855175,743.780144,298.939009,273.104294,199.371425,,44.734085,87.642082,55.713570,178.979370,191.613541,99.724434,94.851913,82.201920,96.656792,38.057827,60.413727,50.089390,60.666195,39.553864,57.832565,46.575279,93.619858,233.874252,161.568741,104.989677,104.109589,53.796394,15.076092,10.875671,10.091585,9.599686,20.432220,22.842808,35.582203,16.000566,16.223095,14.704990,11.673659,28.973301,26.052134,14.977202,14.198236,12.515528,14.867109,10.167182,4.294374,
4,W,4/20/2017 19:00:16,905.947102,371.395664,187.982688,244.699856,208.520954,,246.400970,225.298813,19.582924,31.236477,47.479324,172.815063,203.427612,123.469757,16.498720,40.227715,25.910696,59.153854,22.672590,37.734612,31.556940,38.393318,29.113209,96.126923,56.644218,45.316269,21.524519,43.630169,42.003185,24.333523,11.175023,22.268044,6.957741,5.938936,30.206226,15.343440,7.380260,20.027056,7.929899,14.887183,19.682163,18.833105,19.926716,9.538940,13.970919,11.393140,20.416088,
5,W,4/20/2017 19:00:20,362561.355469,181369.569580,19646.220779,159832.468018,103949.135706,,10797.280273,94884.781250,95423.945313,48761.542969,25706.699219,15059.293945,17137.167969,22693.248047,23325.853516,15306.393555,4262.429688,2298.323486,10779.630859,20721.767578,24838.470703,22785.041016,21544.339844,37711.062500,40690.933594,10528.708984,2393.452393,945.056702,648.891846,141.545914,4988.564941,14369.315430,9389.141602,11418.965820,17218.095703,4190.487793,2427.620117,4436.037598,1034.360474,17710.064453,14372.037109,2340.662354,17782.906250,18945.892578,15915.620117,7250.791016,1030.469604,
6,W,4/20/2017 19:00:24,1039.013123,429.383358,138.094043,213.114670,168.922995,,17.556021,138.547165,177.861771,256.183228,184.108337,44.914803,65.499649,42.826389,48.949253,35.894279,44.228249,34.730091,43.749779,17.640102,55.145069,45.205086,65.414139,112.798447,54.700645,15.382377,24.101694,36.946796,33.341064,15.500685,12.821426,20.796505,15.687654,1.362714,5.265545,3.860324,8.141818,21.035442,25.043249,16.620470,18.366657,11.768542,12.121113,15.028184,18.444183,11.424641,8.147628,
7,W,4/20/2017 19:00:28,1327.561684,465.984711,95.814553,182.855359,151.941657,,12.336765,89.864784,126.420044,77.290024,122.410385,181.093262,92.369041,83.676392,198.915390,272.212799,83.309563,55.325005,89.762764,61.600807,69.021599,86.948128,37.178585,29.714249,36.433575,30.702734,26.540005,21.539894,12.014901,1.354096,3.662923,13.595139,22.500978,17.169397,13.184834,21.306997,23.749388,9.068768,10.019349,3.721827,4.632933,5.534840,0.949617,8.199335,16.433929,12.156586,0.631443,
8,W,4/20/2017 19:00:32,1320.535604,664.977197,166.440186,288.828395,188.787739,,12.850597,94.891586,181.332291,391.357666,236.883209,89.402695,120.572220,31.493086,37.427246,66.689384,70.486221,95.581772,68.387955,55.603584,216.950165,131.644928,26.076065,12.027234,58.705494,29.079742,27.787548,39.176445,17.157207,12.730331,40.508911,59.110962,35.157455,17.687042,3.452580,7.788524,25.556044,17.597536,15.066946,12.669813,12.245616,3.831634,11.661983,3.333245,15.196136,23.307308,25.165569,
